id,firstname,lastname,birthyear,zipcode
1,Michael,Smith,1970,18323
2,Michael,Johnson,1989,14381
3,William,Davis,1995,13056
4,Jane,Jones,1992,10471
5,Emily,Jones,1996,19860
6,Olivia,Smith,1980,14881
7,William,Martinez,2000,12391
8,Jane,Williams,1990,10216
9,John,Williams,1975,13798
10,Jane,Johnson,1970,19266
11,Olivia,Garcia,1978,15915
12,John,Miller,1986,14369
13,John,Smith,1974,19777
14,Olivia,Miller,1980,17888
15,Emily,Brown,1991,15795
16,David,Miller,1996,16994
17,John,Miller,1986,15930
18,John,Davis,1998,11284
19,David,Martinez,1976,14344
20,Jane,Martinez,1993,15353
21,Emma,Brown,1992,15307
22,Emily,Rodriguez,2000,14647
23,Michael,Johnson,1976,14143
24,David,Smith,1979,18932
25,Emma,Smith,2000,19153
26,Michael,Johnson,1998,12869
27,David,Smith,1997,10407
28,James,Miller,1979,16740
29,John,Rodriguez,1999,12458
30,Emma,Williams,1992,13203
31,Olivia,Jones,1979,12662
32,Emily,Brown,1979,15578
33,David,Garcia,1982,18035
34,William,Williams,1982,12832
35,Jane,Williams,1990,18659
36,Sarah,Brown,1982,16090
37,William,Rodriguez,1974,18214
38,Michael,Martinez,1995,17793
39,Jane,Williams,1987,11460
40,James,Williams,1993,13630
41,Emily,Jones,1970,15631
42,Sarah,Davis,1999,10721
43,John,Johnson,1979,19956
44,Michael,Davis,1994,18534
45,William,Garcia,1995,11238
46,Michael,Rodriguez,1980,16304
47,David,Jones,1982,10917
48,David,Johnson,1992,16516
49,William,Davis,1995,16714
50,Emily,Miller,1971,15443
51,John,Martinez,1982,15941
52,William,Brown,1970,10346
53,David,Brown,1976,10321
54,Emma,Johnson,1986,17401
55,William,Smith,1982,15924
56,Emma,Martinez,1970,12858
57,Jane,Miller,1981,13804
58,Sarah,Johnson,1979,12310
59,Emma,Rodriguez,1972,17176
60,Olivia,Miller,1993,16779
61,Michael,Brown,1993,13254
62,David,Garcia,1986,10943
63,James,Williams,1972,18197
64,Jane,Martinez,1972,13536
65,Michael,Martinez,2000,18382
66,Jane,Rodriguez,1996,14938
67,Jane,Miller,1988,12667
68,Emily,Garcia,1985,14229
69,Sarah,Williams,1994,15691
70,Olivia,Williams,1998,17512
71,John,Williams,1975,13750
72,James,Miller,1984,14551
73,Jane,Smith,1972,19410
74,William,Williams,1970,12108
75,Emily,Jones,1986,18392
76,Emily,Martinez,1971,17242
77,Sarah,Davis,1976,10384
78,Olivia,Rodriguez,1970,18887
79,Emma,Johnson,1984,19152
80,Olivia,Smith,1999,10465
81,Michael,Brown,1976,11785
82,Emily,Martinez,1971,19140
83,Emily,Miller,1982,10891
84,Emily,Garcia,1987,17115
85,James,Garcia,1995,12190
86,William,Johnson,1989,17058
87,Olivia,Smith,1995,19086
88,Emma,Smith,1992,15080
89,William,Brown,1972,12244
90,Emily,Smith,1980,19050
91,Olivia,Miller,1981,18424
92,William,Johnson,1976,17626
93,William,Brown,1971,19023
94,William,Martinez,2000,19266
95,Jane,Williams,1980,15740
96,Emily,Jones,1983,16574
97,David,Miller,1986,11980
98,Emily,Garcia,1985,19471
99,Jane,Davis,1997,15477
100,John,Miller,1997,19913
101,Sarah,Garcia,1973,18211
102,James,Brown,1973,19989
103,William,Davis,1991,18397
104,James,Brown,1989,12925
105,Olivia,Davis,1997,13445
106,Jane,Garcia,1972,10683
107,John,Martinez,1990,13379
108,Emily,Williams,1974,16835
109,Jane,Miller,1979,19321
110,Emily,Martinez,1994,15298
111,David,Garcia,1979,10682
112,Emma,Miller,1982,16357
113,William,Davis,1999,10228
114,Jane,Smith,1991,15920
115,David,Jones,1988,12253
116,Emily,Smith,1983,15861
117,Emily,Martinez,1978,13180
118,Emma,Martinez,1970,19822
119,William,Jones,1998,11154
120,James,Rodriguez,1981,19167
121,William,Smith,1986,11549
122,David,Davis,1999,11483
123,David,Brown,1974,10355
124,Emma,Rodriguez,1996,11406
125,John,Smith,1974,12718
126,John,Johnson,1993,19967
127,Olivia,Smith,1986,17290
128,James,Davis,1982,17095
129,James,Williams,1976,15126
130,David,Johnson,1977,16377
131,James,Martinez,1994,12445
132,William,Williams,1981,16855
133,Jane,Rodriguez,1985,17155
134,William,Miller,1992,16663
135,James,Davis,1971,15829
136,Emma,Jones,1981,15234
137,Olivia,Martinez,1991,17811
138,Jane,Williams,1998,12576
139,Emma,Williams,1983,11577
140,Jane,Williams,1971,14062
141,Emma,Rodriguez,1974,15813
142,Olivia,Garcia,1991,17175
143,James,Brown,1994,11432
144,Emma,Smith,1975,10641
145,Jane,Davis,1997,14621
146,Emily,Davis,1995,13257
147,Jane,Jones,1987,16889
148,James,Williams,1970,16402
149,Emma,Brown,1975,18582
150,Sarah,Smith,1995,11162
151,Jane,Rodriguez,1974,12032
152,Michael,Garcia,1998,15920
153,Sarah,Smith,1992,18264
154,Michael,Jones,1988,12203
155,Michael,Brown,1977,19185
156,Olivia,Brown,2000,16730
157,Emily,Smith,1987,18574
158,Michael,Miller,1981,19064
159,William,Jones,1996,14249
160,Emma,Garcia,1987,17437
161,Olivia,Williams,1989,14431
162,Jane,Jones,1979,17621
163,Emily,Rodriguez,1993,10721
164,James,Johnson,1980,18807
165,Emily,Jones,1989,14601
166,Emma,Rodriguez,1993,10436
167,Olivia,Garcia,1986,18701
168,Olivia,Miller,1998,10169
169,Emily,Williams,1998,15790
170,Emily,Williams,1977,16375
171,Sarah,Smith,1976,18421
172,William,Garcia,1987,10034
173,John,Miller,1972,10675
174,James,Garcia,1999,11993
175,Emma,Williams,1981,12969
176,Emma,Miller,1979,11287
177,David,Davis,1987,19108
178,David,Miller,1996,12626
179,Sarah,Davis,1979,12508
180,John,Garcia,1976,11400
181,James,Martinez,1970,11125
182,Olivia,Miller,1971,11766
183,Michael,Smith,1984,11212
184,Sarah,Williams,1999,14781
185,Jane,Jones,1987,19860
186,Sarah,Miller,1991,11392
187,Olivia,Jones,1999,10756
188,Michael,Davis,1975,17971
189,David,Smith,1978,17775
190,Emily,Smith,1971,16432
191,John,Garcia,1979,13470
192,Emily,Davis,1973,11031
193,Emma,Johnson,1972,11306
194,Emma,Rodriguez,1970,11609
195,Michael,Johnson,1988,17281
196,Sarah,Brown,1991,19437
197,Jane,Jones,1975,17425
198,Emma,Rodriguez,1990,16270
199,Sarah,Jones,1991,19546
200,Olivia,Brown,1982,10490
201,Jane,Smith,1981,18509
202,Michael,Johnson,1991,15038
203,James,Johnson,1988,17009
204,Sarah,Davis,1973,18367
205,John,Smith,1999,11556
206,Olivia,Williams,1972,13607
207,Emily,Johnson,1989,13661
208,Emily,Smith,1978,14823
209,Emily,Miller,1979,16699
210,Jane,Brown,1971,19578
211,Emma,Rodriguez,1972,14064
212,William,Smith,1997,16164
213,Emily,Jones,1997,10422
214,Jane,Johnson,1974,14592
215,Emma,Jones,1970,13802
216,Michael,Davis,1990,11480
217,William,Smith,1985,15903
218,Sarah,Rodriguez,1981,16742
219,Olivia,Williams,1984,18191
220,James,Jones,1982,15348
221,Olivia,Martinez,1976,17224
222,David,Garcia,1979,18375
223,Emma,Williams,1970,19755
224,James,Jones,1994,15121
225,Sarah,Johnson,1995,16866
226,Olivia,Smith,2000,14098
227,Michael,Williams,1972,10902
228,David,Davis,1995,19062
229,Emily,Garcia,1985,10822
230,Emily,Miller,1988,16880
231,Jane,Smith,1996,18458
232,Emma,Miller,1983,11106
233,James,Jones,1972,18124
234,Sarah,Jones,1976,17231
235,Emma,Johnson,1994,14854
236,Emma,Williams,1975,14981
237,Emma,Smith,1992,10257
238,Sarah,Garcia,1989,10399
239,John,Martinez,1977,12104
240,John,Jones,1988,19088
241,James,Martinez,1984,15557
242,Jane,Johnson,1992,12930
243,John,Smith,1979,13003
244,David,Brown,1997,16201
245,Sarah,Rodriguez,1997,12811
246,David,Miller,1984,18534
247,Sarah,Johnson,1998,10139
248,John,Garcia,1972,13478
249,Emma,Garcia,1986,19099
250,Jane,Miller,1984,14743
251,Michael,Rodriguez,1992,18073
252,Michael,Rodriguez,1988,15928
253,Emma,Miller,1976,16955
254,Emma,Williams,1972,14912
255,Emily,Johnson,1977,18006
256,William,Johnson,1985,10504
257,Jane,Miller,1990,14610
258,James,Johnson,1991,17747
259,David,Brown,1971,19790
260,Jane,Miller,1981,12506
